,mean_1,third quartile_1,std_1,peak count_1,coefOfVar_1,mean_2,third quartile_2,std_2,peak count_2,coefOfVar_2,mean_5,third quartile_5,std_5,peak count_5,coefOfVar_5,mean_10,third quartile_10,std_10,peak count_10,coefOfVar_10,mean_20,third quartile_20,std_20,peak count_20,coefOfVar_20,mean_30,third quartile_30,std_30,peak count_30,coefOfVar_30,mean_40,third quartile_40,std_40,peak count_40,coefOfVar_40,mean_50,third quartile_50,std_50,peak count_50,coefOfVar_50
341,9.9981617087,10.0053096493,0.174180567442,1.0,0.0174212592791,9.9981617087,10.1580707713,0.380868114476,1.0,0.0380938142004,10.0433791947,10.1367260046,0.202140602739,2.0,0.0201267520443,10.0187692161,10.2794649659,0.402235002139,2.0,0.0401481452922,10.0308766321,10.2712739249,0.609563000517,5.0,0.0607686668747,10.0080647985,10.2696213852,0.677329129359,8.0,0.0676783317252,9.99678929682,10.3565881769,0.765831870825,9.0,0.0766077835679,9.99357963649,10.388008448,0.846439965528,9.0,0.0846983759891
342,9.78308372658,9.81903945011,0.123169646225,1.0,0.0125900635901,9.78308372658,9.90197856903,0.215249391194,1.0,0.0220022027011,9.77495613408,9.80787447468,0.118516632659,2.0,0.0121245181086,9.79411474264,9.92639486417,0.231993145468,4.0,0.0236869948499,9.79166872388,10.0020362865,0.331195571735,4.0,0.0338242214963,9.79140050351,10.09085578,0.44193371972,5.0,0.0451348833664,9.7901178718,10.2026621968,0.574375444316,13.0,0.0586688997862,9.78963821317,10.2564324279,0.672753083481,15.0,0.0687209341992
66,10.1520313277,10.7014148142,0.373388758346,1.0,0.036779709035,10.1520313277,10.3745076754,0.553388466515,1.0,0.0545101220291,10.2084345913,10.7271246909,0.456330237726,3.0,0.0447012941745,10.0775153566,10.3303398482,0.606248369384,2.0,0.0601585160561,10.1348874235,10.4770899074,0.712636851517,3.0,0.0703152212492,10.1483495746,10.505035595,1.02829161972,8.0,0.101325995144,10.148584819,10.5528423963,1.29111053063,9.0,0.127220745912,10.1499000385,10.545862847,1.45558685957,13.0,0.143408984724
67,10.0895155373,10.1266699264,0.101182342533,1.0,0.0100284639197,10.0895155373,10.197610093,0.195866651942,1.0,0.0194128896693,10.1329527427,10.1015451417,0.228012060478,2.0,0.0225020353166,10.1686058354,10.2612741012,0.548977765266,2.0,0.0539875155111,10.1179280677,11.3080015704,1.39064726653,10.0,0.137443877562,10.0883145566,11.698930896,1.81095895003,11.0,0.179510555492,10.0830902801,11.796618023,1.98724775514,10.0,0.197087172676,10.0827961949,11.4828390213,2.11213975432,10.0,0.209479564348
68,9.96182316827,9.99672627073,0.0334705165465,1.0,0.00335987860667,9.96182316827,10.1649366556,0.262076223454,1.0,0.0263080581764,10.0792044015,9.99858051209,0.487065843122,2.0,0.0483238382435,10.110187894,10.1502344956,0.578298894534,2.0,0.0571996188991,9.98747575721,11.1555799364,1.25115335068,10.0,0.125272229049,9.96978420038,11.5401431298,1.71438289282,13.0,0.171957873748,9.96371580158,11.6037865771,1.86463418642,10.0,0.187142450021,9.96132190992,11.5479934593,1.94459314822,10.0,0.195214366708
69,9.90106259824,9.90553591043,0.0181426200434,1.0,0.00183239120685,9.90106259824,9.99882369049,0.161440831045,1.0,0.0163054045404,9.99993047172,9.93861551824,0.284650615825,2.0,0.0284652594966,9.89726137228,9.99408128407,0.240682899205,2.0,0.0243181310619,9.87407450988,10.6522673972,0.818625364882,8.0,0.0829065411713,9.89275424704,10.806229463,1.08817812367,8.0,0.109997488717,9.90029332136,10.9207730169,1.17938457692,10.0,0.119126225722,9.90340445114,10.8281231524,1.23055778311,10.0,0.124256036313
113,10.1961332043,10.4294183656,0.230393624003,1.0,0.022596176353,10.1961332043,10.2432161555,0.29753353967,1.0,0.0291810173238,10.2139315743,10.4364520878,0.56273622738,2.0,0.0550949674261,10.4914043571,10.4784383189,1.9268178739,3.0,0.183656811644,10.1713744798,11.6961924263,2.03371713622,5.0,0.199945163779,10.1425006139,14.0577508946,4.45874913508,15.0,0.439610437783,10.1705212767,14.7211252476,5.8456297009,19.0,0.57476205416,10.1933276195,14.9349575546,6.46820812825,17.0,0.634553147871
114,9.85485904599,10.1560944359,0.229334444942,1.0,0.0232712049835,9.85485904599,10.1463262334,0.514037916489,1.0,0.0521608593375,9.60459370027,10.1431260096,0.832670017288,3.0,0.0866949756828,10.1757480468,10.207568405,1.37060202557,3.0,0.134692999401,10.1486791765,11.8706731891,2.5571327535,6.0,0.251967050001,9.95835743802,14.5801373552,5.10041242834,14.0,0.512174066866,9.87373316229,16.1259640355,6.45947597409,16.0,0.654208075903,9.84245965705,16.4939489108,7.03554340426,17.0,0.714815569421
115,9.95979580174,10.204383598,0.19585764456,1.0,0.0196648253095,9.95979580174,10.1721630101,0.327326151567,1.0,0.03286474523,9.9947601808,10.3340430742,2.12172482646,2.0,0.212283715475,9.826208911,10.3203554082,1.23960203655,3.0,0.126152623843,9.99434135981,11.7695660535,2.22462500376,4.0,0.222588455174,9.97749846014,14.4552683628,4.6858680604,12.0,0.469643576405,9.96426481215,15.8434220012,6.00812872092,15.0,0.602967588095,9.96364439394,16.2374988593,6.58562380642,15.0,0.660965360268
0,9.7515305421,9.753292511,0.00125654282786,1.0,0.000128855959835,9.7515305421,9.75307716225,0.00171041038158,1.0,0.000175399171874,9.75145970609,9.75291558106,0.00138218313318,2.0,0.000141741152077,9.75155047851,9.75274761156,0.00199811269756,2.0,0.000204902051419,9.75145109517,9.75339679479,0.00245492966345,4.0,0.00025175018974,9.75152493504,9.75410421904,0.00296017393817,6.0,0.00030356010551,9.75155520354,9.75444889154,0.00345184559819,9.0,0.000353978983468,9.75156975545,9.75461228998,0.0039697156228,12.0,0.000407084779411
